MOF,uptake_ads,uptake_des,heat_ads,heat_des,LISD,LFSD,LISFS,Unit_cell_volume,Density,ASA_A2,ASA_m2_per_cm3,ASA_m2_per_g,NASA_A2,NASA_m2_per_cm3,NASA_m2_per_g,Number_of_channels,Channel_surface_area_A2,Number_of_pockets,AV_A3,AV_Volume_fraction,AV_cm3_per_g,NAV_A3,NAV_Volume_fraction,NAV_cm3_per_g,Channel_volume,Number_of_pockets.1,oms_value,Pocket_volume_A3,Pocket_surface_area_A2,No_of_Channel,Di,Df,Dif,H,Yb,Ir,K,V,Te,Mn,Co,Sr,Bi,Cd,Mg,P,Be,Cl,As,F,Pb,Pr,Mo,I,Er,Fe,Pu,Y,W,Gd,Sn,Se,Cs,B,Ge,C,Si,Ag,Pt,S,Th,Ca,Dy,Au,Rb,Zr,Ho,Br,Sc,Na,U,Pd,Nd,Ni,Np,N,Nb,Ru,Li,Lu,Zn,Hg,Hf,Sb,In,Eu,Ga,Tb,Tm,Sm,O,La,Cr,Ti,Ba,Rh,Ce,Cu,Al,Re
XUKYEI_neutral,0.9209968672735,0.668302827266,-21.55231,-18.39099,13.18217,10.2037,13.18217,6140.0,0.287208,1122.81,1828.68,6367.08,0.0,0.0,0.0,1,1122.81,0,3481.38,0.567,1.97418,0.0,0.0,0.0,3481.38,0,0,0.0,0.0,1,13.1822,10.2037,13.1822,56,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ja300034j_si_002_clean,0.4331117081576,0.1873457693378,-25.96441,-17.79542,17.497,17.44104,17.497,2800.68,0.713223,390.541,1394.45,1955.14,0.0,0.0,0.0,1,390.541,0,1268.71,0.453,0.635145,0.0,0.0,0.0,1268.71,0,6,0.0,0.0,1,17.497,17.441,17.497,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
QIYDAF01_clean,0.8270771,0.6604254381139,-19.37443,-18.95302,22.00141,13.48659,22.00141,52812.6,0.303251,8995.15,1703.22,5616.54,0.0,0.0,0.0,1,8995.15,0,30979.9,0.5866,1.93437,0.0,0.0,0.0,30979.9,0,24,0.0,0.0,1,22.0014,13.4866,22.0014,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,24,0,0
XAHPIH_clean,0.8186783504584999,0.6344514523993999,-21.96228,-19.54395,14.37026,13.2266,14.37026,12821.8,0.356183,2130.49,1661.62,4665.07,0.0,0.0,0.0,1,2130.49,0,7334.05,0.572,1.60592,0.0,0.0,0.0,7334.05,0,8,0.0,0.0,1,14.3703,13.2266,14.3703,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,8,0,0
VETMIS_clean,0.9325194832925,0.7465970541668,-22.10557,-19.92746,18.1343,11.96931,18.1343,33152.2,0.311959,5856.65,1766.6,5662.9,0.0,0.0,0.0,1,5856.65,0,18737.6,0.5652,1.81178,0.0,0.0,0.0,18737.6,0,12,0.0,0.0,1,18.1343,11.9693,18.1343,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,12,0,0
REZXUQ_clean,0.7297094683247,0.5757267002249,-20.89175,-19.12644,15.65265,13.94811,15.65265,7968.71,0.361934,1391.76,1746.53,4825.55,0.0,0.0,0.0,1,1391.76,0,4291.95,0.5386,1.48812,0.0,0.0,0.0,4291.95,0,6,0.0,0.0,1,15.6526,13.9481,15.6526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,6,0,0,0,0,0,0,0
CUSXIY_clean,0.7002765320977,0.5725215539988,-18.03611,-16.355,15.36203,13.23891,14.90651,67549.9,0.291845,10668.5,1579.35,5411.61,0.0,0.0,0.0,1,10668.5,0,42678.0,0.6318,2.16485,0.0,0.0,0.0,42678.0,0,0,0.0,0.0,1,15.362,13.2389,14.9065,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0
BAZFUF_clean,0.9401305527113,0.7626931699666,-24.88038,-21.81931,20.47129,8.65157,20.47129,20733.2,0.340053,3849.56,1856.72,5460.08,0.0,0.0,0.0,1,3849.56,0,11477.9,0.5536,1.62798,0.0,0.0,0.0,11477.9,0,12,0.0,0.0,1,20.4713,8.65157,20.4713,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,12,0,0
BAZFUF01_clean,0.9375053119158,0.7598270383385,-24.86239,-22.47813,20.31669,8.61831,20.31669,20611.4,0.342062,3813.53,1850.21,5408.97,0.0,0.0,0.0,1,3813.53,0,11534.1,0.5596,1.63596,0.0,0.0,0.0,11534.1,0,12,0.0,0.0,1,20.3167,8.61831,20.3167,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,12,0,0
LEJCEK_clean,0.7648451947503999,0.6260907393336,-20.24992,-19.6538,17.20124,11.20727,17.20124,30478.3,0.334035,5861.82,1923.28,5757.71,0.0,0.0,0.0,1,5861.82,0,16287.6,0.5344,1.59983,0.0,0.0,0.0,16287.6,0,0,0.0,0.0,1,17.2012,11.2073,17.2012,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
ZELROZ_manual,0.6237772907490999,0.4983023071765999,-18.84829,-17.52456,16.91637,11.08222,16.91637,5020.15,0.361932,905.305,1803.34,4982.55,0.0,0.0,0.0,1,905.305,0,2854.46,0.5686,1.57101,0.0,0.0,0.0,2854.46,0,0,0.0,0.0,1,16.9164,11.0822,16.9164,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
ACOCUS_clean,0.8994406,0.7518486880458001,-21.63525,-20.60471,24.39556,13.22221,24.39556,102543.0,0.346494,15635.2,1524.76,4400.53,0.0,0.0,0.0,1,15635.2,0,60664.2,0.5916,1.70739,0.0,0.0,0.0,60664.2,0,48,0.0,0.0,1,24.3956,13.2222,24.3956,672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,48,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0
ADATAC_clean,0.8376261249773,0.6983722190455,-21.28004,-19.57886,26.79315,10.37178,16.77775,45807.9,0.33727,7952.52,1736.06,5147.39,0.0,0.0,0.0,1,7952.52,0,26211.3,0.5722,1.69657,0.0,0.0,0.0,26211.3,0,24,0.0,0.0,1,26.7931,10.3718,16.7778,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,24,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0
